src_name,dst_name,classification
ip_n_sp_add_heat__tco,ip_n_sp_add_heat__tco,DIRECT_COPY
ip_n_sp_is__tco,ip_n_sp_is__tco,DIRECT_COPY
ip_n_sp_lgrd_ch_2__tco,ip_n_sp_lgrd_ch_2__tco,DIRECT_COPY
ip_n_vim_tia__tia,ip_n_vim_tia__tia,DIRECT_COPY
ip_nl_sp__n,ip_nl_sp__n,DIRECT_COPY
ip_nr_ip_maf__vo,ip_nr_ip_maf__vo,DIRECT_COPY
ip_nr_ti_cop__iga_dif,ip_nr_ti_cop__iga_dif,DIRECT_COPY
ip_o2_cat_1__vls_down_1,ip_o2_cat_1__vls_down_1,DIRECT_COPY
ip_o2_cat_2__vls_down_2,ip_o2_cat_2__vls_down_2,DIRECT_COPY
ip_pq_main_col_tq__n__tps_sum,ip_pq_main_col_tq__n__tps_sum,DIRECT_COPY
ip_pvs_dec_cru__n_32,ip_pvs_dec_cru__n_32,DIRECT_COPY
ip_pvs_dif_cr_neg__pvs_max__n,ip_pvs_dif_cr_neg__pvs_max__n,DIRECT_COPY
ip_pvs_dif_neg_fac__pvs_max__n,ip_pvs_dif_neg_fac__pvs_max__n,DIRECT_COPY
ip_pvs_fac_cs__n_dif__pvs_av,ip_pvs_fac_cs__n_dif__pvs_av,DIRECT_COPY
ip_pvs_grd_max_neg_er__pvs_max,ip_pvs_grd_max_neg_er__pvs_max,DIRECT_COPY
ip_pvs_grd_max_pos_er__pvs_max,ip_pvs_grd_max_pos_er__pvs_max,DIRECT_COPY
ip_pvs_isa_isapwm__isapwm,ip_pvs_isa_isapwm__isapwm,DIRECT_COPY
ip_pvs_max_cru__vs_fil,ip_pvs_max_cru__vs_fil,DIRECT_COPY
ip_pvs_min_at_1_ef__n_32,ip_pvs_min_at_1_ef__n_32,DIRECT_COPY
ip_pvs_min_at_2_ef__n_32,ip_pvs_min_at_2_ef__n_32,DIRECT_COPY
ip_pvs_min_at_3_ef__n_32,ip_pvs_min_at_3_ef__n_32,DIRECT_COPY
ip_pvs_min_at_4_ef__n_32,ip_pvs_min_at_4_ef__n_32,DIRECT_COPY
ip_pvs_min_at_5_ef__n_32,ip_pvs_min_at_5_ef__n_32,DIRECT_COPY
ip_pvs_min_mt_1_ef__n_32,ip_pvs_min_mt_1_ef__n_32,DIRECT_COPY
ip_pvs_min_mt_2_ef__n_32,ip_pvs_min_mt_2_ef__n_32,DIRECT_COPY
ip_pvs_min_mt_3_ef__n_32,ip_pvs_min_mt_3_ef__n_32,DIRECT_COPY
ip_pvs_min_mt_4_ef__n_32,ip_pvs_min_mt_4_ef__n_32,DIRECT_COPY
ip_pvs_min_mt_5_ef__n_32,ip_pvs_min_mt_5_ef__n_32,DIRECT_COPY
ip_pvs_min_set_cru__vs_sp_cru,ip_pvs_min_set_cru__vs_sp_cru,DIRECT_COPY
ip_sap_dly_2__n,ip_sap_dly_2__n,DIRECT_COPY
ip_sap_dly_3__n,ip_sap_dly_3__n,DIRECT_COPY
ip_soi_st__n__ti,ip_soi_st__n__ti,DIRECT_COPY
ip_soi_tco_1_is__n__ti,ip_soi_tco_1_is__n__ti,DIRECT_COPY
ip_soi_tco_1_pl__n__ti,ip_soi_tco_1_pl__n__ti,DIRECT_COPY
ip_soi_tco_2_is__n__ti,ip_soi_tco_2_is__n__ti,DIRECT_COPY
ip_soi_tco_2_pl__n__ti,ip_soi_tco_2_pl__n__ti,DIRECT_COPY
ip_sum_ign_mpl_st__tco,ip_sum_ign_mpl_st__tco,DIRECT_COPY
ip_t_dly_hst__maf_kgh,ip_t_dly_hst__maf_kgh,DIRECT_COPY
ip_t_dly_i__vls_dif_dly_i,ip_t_dly_i__vls_dif_dly_i,DIRECT_COPY
ip_t_dly_p__vls_dif_dly_i,ip_t_dly_p__vls_dif_dly_i,DIRECT_COPY
